{'hit_rate': 0.013775789587800536, 'average_difference': 0.02647581317635624, 'median_difference': 0.014093146426603198, 'total_predictions': 13755, 'hits': 183}
Epoch: 068, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0089
{'hit_rate': 0.013891167458924407, 'average_difference': 0.026580930173975902, 'median_difference': 0.01426147692836821, 'total_predictions': 13755, 'hits': 185}
Epoch: 069, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0089
{'hit_rate': 0.01415070623182795, 'average_difference': 0.026814321745193076, 'median_difference': 0.014462914783507586, 'total_predictions': 13755, 'hits': 188}
Epoch: 070, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0089
{'hit_rate': 0.014151483011696792, 'average_difference': 0.026814787037336748, 'median_difference': 0.01436793841276085, 'total_predictions': 13755, 'hits': 188}
Epoch: 071, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0089
{'hit_rate': 0.013888014042171002, 'average_difference': 0.0265707869633689, 'median_difference': 0.013979261806525756, 'total_predictions': 13755, 'hits': 185}
Epoch: 072, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0089
{'hit_rate': 0.013728444802962252, 'average_difference': 0.02642749599333723, 'median_difference': 0.01394324644934386, 'total_predictions': 13755, 'hits': 183}
Epoch: 073, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0089
{'hit_rate': 0.013876159920158716, 'average_difference': 0.026555831791424022, 'median_difference': 0.014212366135325283, 'total_predictions': 13755, 'hits': 185}
Epoch: 074, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0089
{'hit_rate': 0.014034578370531138, 'average_difference': 0.026704274710105898, 'median_difference': 0.014379443950019777, 'total_predictions': 13755, 'hits': 187}
Epoch: 075, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0089
{'hit_rate': 0.01395173916376505, 'average_difference': 0.02662682420461321, 'median_difference': 0.014306455093901604, 'total_predictions': 13755, 'hits': 186}
Epoch: 076, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0089
{'hit_rate': 0.013776985779384325, 'average_difference': 0.026463343901799333, 'median_difference': 0.014133743068668991, 'total_predictions': 13755, 'hits': 183}
Epoch: 077, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0089
{'hit_rate': 0.013808978381806173, 'average_difference': 0.02649691232015897, 'median_difference': 0.014083540881983936, 'total_predictions': 13755, 'hits': 184}
Epoch: 078, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0089
{'hit_rate': 0.014013616891186447, 'average_difference': 0.026685740264888177, 'median_difference': 0.01420382154174149, 'total_predictions': 13755, 'hits': 186}
Epoch: 079, Loss: 0.0079, Validation MSE: 0.0082, Test MSE: 0.0089
{'hit_rate': 0.014083528798456832, 'average_difference': 0.026751583645743114, 'median_difference': 0.014259236981160939, 'total_predictions': 13755, 'hits': 187}
