CVE-2025-0881,0.00034
CVE-2025-0882,0.00036
CVE-2025-0883,0.0005
CVE-2025-0884,0.00015
CVE-2025-0889,0.00017
CVE-2025-0890,0.00101
CVE-2025-0893,0.00022
CVE-2025-0895,0.00018
CVE-2025-0896,0.00097
CVE-2025-0897,0.00042
CVE-2025-0899,0.00114
CVE-2025-0900,0.00021
CVE-2025-0901,0.00114
CVE-2025-0902,0.00054
CVE-2025-0903,0.00101
CVE-2025-0904,0.00054
CVE-2025-0905,0.00054
CVE-2025-0906,0.00054
CVE-2025-0907,0.00054
CVE-2025-0908,0.00054
CVE-2025-0909,0.00054
CVE-2025-0910,0.00143
CVE-2025-0911,0.00054
CVE-2025-0912,0.01931
CVE-2025-0914,0.00035
CVE-2025-0916,0.00141
CVE-2025-0918,0.0019
CVE-2025-0924,0.21345
CVE-2025-0929,0.00277
CVE-2025-0930,0.00038
CVE-2025-0934,0.00036
CVE-2025-0935,0.00043
CVE-2025-0937,0.00035
CVE-2025-0938,0.01024
CVE-2025-0939,0.00044
CVE-2025-0941,0.00034
CVE-2025-0942,0.0007
CVE-2025-0943,0.0004
CVE-2025-0944,0.00056
CVE-2025-0945,0.00056
CVE-2025-0946,0.00056
CVE-2025-0947,0.00042
CVE-2025-0948,0.00052
CVE-2025-0949,0.00052
CVE-2025-0950,0.00052
CVE-2025-0952,0.0004
CVE-2025-0953,0.0019
CVE-2025-0954,0.00051
CVE-2025-0955,0.00073
CVE-2025-0956,0.00169
CVE-2025-0957,0.00208
CVE-2025-0958,0.00062
CVE-2025-0959,0.00032
CVE-2025-0960,0.00378
CVE-2025-0961,0.00044
CVE-2025-0967,0.00038
CVE-2025-0968,0.00055
CVE-2025-0970,0.00038
CVE-2025-0971,0.00035
CVE-2025-0972,0.00038
CVE-2025-0973,0.00113
CVE-2025-0974,0.00068
CVE-2025-0975,0.00099
CVE-2025-0981,0.00033
CVE-2025-0982,0.00088
CVE-2025-0985,0.0003
CVE-2025-0986,0.00019
CVE-2025-0990,0.00013
CVE-2025-0994,0.72392
CVE-2025-0995,0.00169
CVE-2025-0996,0.00078
CVE-2025-0997,0.00083
CVE-2025-0999,0.00099
CVE-2025-1001,4e-05
CVE-2025-1002,0.00012
CVE-2025-1003,0.00025
CVE-2025-1004,0.00058
CVE-2025-1005,0.00042
CVE-2025-1006,0.00127
CVE-2025-1007,0.00059
CVE-2025-1008,0.00038
CVE-2025-1009,0.0019
CVE-2025-1010,0.00138
CVE-2025-1011,0.00101
CVE-2025-1012,0.00138
CVE-2025-1013,0.00081
CVE-2025-1014,0.0005
CVE-2025-1015,0.22792
CVE-2025-1016,0.0019
CVE-2025-1017,0.00153
CVE-2025-1018,0.00059
CVE-2025-1019,0.00054
CVE-2025-1020,0.00134
CVE-2025-1022,0.00095
CVE-2025-1023,0.00088
CVE-2025-1024,0.00037
CVE-2025-1025,0.10001
CVE-2025-1026,0.00099
CVE-2025-1028,0.00217
CVE-2025-1035,0.35291
CVE-2025-1039,0.00183
CVE-2025-1040,0.0045
CVE-2025-1042,0.00018
CVE-2025-1043,0.00032
CVE-2025-1044,0.00681
CVE-2025-1052,0.00193
CVE-2025-1053,0.00012
CVE-2025-1057,0.00041
CVE-2025-1058,0.00027
CVE-2025-1059,0.00062
CVE-2025-1060,0.00024
CVE-2025-1061,0.00263
CVE-2025-1062,0.00031
CVE-2025-1063,0.00062
CVE-2025-1064,0.00034
CVE-2025-1065,0.00038
CVE-2025-1066,0.00071
CVE-2025-1067,0.00016
CVE-2025-1068,0.00018
CVE-2025-1070,0.00061
CVE-2025-1071,0.0006
CVE-2025-1072,0.00126
CVE-2025-1073,0.00023
CVE-2025-1074,0.00024
CVE-2025-1075,0.0002
CVE-2025-1076,0.00036
CVE-2025-1077,0.00422
CVE-2025-1078,0.0002
CVE-2025-1080,0.00055
CVE-2025-1081,0.00031
CVE-2025-1082,0.00044
CVE-2025-1083,0.00024
CVE-2025-1084,0.00024
CVE-2025-1085,0.00046
CVE-2025-1086,0.00093
CVE-2025-1091,0.00032
CVE-2025-1094,0.84403
CVE-2025-1095,0.00015
CVE-2025-1097,0.06365
